Asian College of Technology,act.png
Asian College of Technology - International Educational Foundation,act.png
Bohol Island State University - Candijay Campus,bisu.jpg
Bohol Northern Star College,bnsc.jpg
Cebu Eastern College,cec.jpg
Cebu Institute of Technology - University,cituu.jpg
Cebu Technological University,ctu.jpg
Cebu Technological University - Argao Campus,ctuac.jpg
Cebu Technological University - Main Campus,ctumc.jpg
Cebu Technological University - Tuburan Campus,ctutc.jpg
Colegio de San Antonio de Padua - De La Salle Supervised School,csapdlsssss.jpg
COLEGIO DE SANTA CATALINA DE ALEJANDRIA,colegiodesantacatalinadealejandria.jpg
Cristal e-College,ccc.jpg
Holy Name University,hnu.jpg
La Consolacion College - Bais City,lccbc.jpg
Mater Dei College,mdc.jpg
Negros Oriental State University,nosu.jpg
Saint Paul College Foundation Inc.,spcfi.jpg
Silliman University,su.jpg
Siquijor State College,ssc.jpg
Talibon Polytechnic College,tpc.jpg
University of Bohol,ubb.jpg
University of Cebu,ucc.jpg
University of Cebu - Banilad,ucc.jpg
University of Cebu - Lapu-lapu and Mandaue,ucc.jpg
University of San Carlos,uscc.jpg
University of San Carlos - Talamban Campus,uscc.jpg
University of San Jose - Recoletos,usjrr.jpg
University of Southern Philippines Foundation,uspff.jpg
"Cebu Technological University- Argao,Campus",ctuac.jpg
COLLEGE OF TECHNOLOGY AND ALLIED SCIENCES,collegeoftechnologyandalliedsciences.jpg
Bohol Island State University-Bilar Campus,bisubc.jpg
Bohol Island State University,bisu.jpg
BISU-Bilar,bisu.jpg
Bohol Northern Star College(BNSC),bnscbnsc.jpg
BISU-Bilar Campus,bisu.jpg
Bohol Island State University Bilar Campus,bisu.jpg
University of Cebu Lapu-Lapu Mandaue,ucc.jpg
University of Cebu Lapu-lapu & Mandaue,ucc.jpg
BOHOL ISLAND STATE UNIVERSITY (BILAR CAMPUS),bisu.jpg
CTU - Tuburan Campus,ctuac.jpg
La Consolacion College,lcc.jpg
University of Cebu-Banilad Campus,ucc.jpg
University of Cebu- Banilad Campus,ucc.jpg
BOHOL ISLAND STATE UNIVERSITY - BILAR CAMPUS,bisu.jpg
,
